FID,date,neighbors,neighbor_count
1331,1990-07-06,"       FID       date
380   1247 1990-07-08
401   1206 1990-07-08
569   1289 1990-07-08
1203  1163 1990-07-08
2699  1248 1990-07-08
4219  1368 1990-07-06
4454  1205 1990-07-08
4526  1207 1990-07-08
4949  1288 1990-07-08",9
1368,1990-07-06,"       FID       date
380   1247 1990-07-08
401   1206 1990-07-08
569   1289 1990-07-08
2699  1248 1990-07-08
4454  1205 1990-07-08
4526  1207 1990-07-08
4949  1288 1990-07-08
5035  1331 1990-07-06",8
1368,1990-09-29,"        FID       date
3011   1407 1990-09-27
3449   1407 1990-10-01
4737   1369 1990-09-27
7650   1369 1990-09-29
9228   1482 1990-10-01
11341  1331 1990-09-27",6
1369,1990-09-29,"        FID       date
932    1368 1990-09-27
3011   1407 1990-09-27
3449   1407 1990-10-01
3644   1368 1990-09-29
4620   1368 1990-10-01
9228   1482 1990-10-01
11341  1331 1990-09-27",7
1289,1991-06-30,"       FID       date
94    1368 1991-07-02
133   1331 1991-07-02
316   1407 1991-07-02
535   1369 1991-07-02
2343  1330 1991-07-02
4478  1444 1991-07-02
6359  1290 1991-07-02",7
3817,1991-07-01,"       FID       date
4428  3673 1991-07-03
4429  3674 1991-07-03
4430  3672 1991-07-03
4706  3675 1991-07-03
8555  3748 1991-07-03
9242  3891 1991-07-01",6
4160,1991-07-03,"        FID       date
2915   4093 1991-07-05
3741   4024 1991-07-05
6260   4097 1991-07-01
6262   4096 1991-07-01
7529   4161 1991-07-03
11298  4023 1991-07-05",6
4161,1991-07-03,"        FID       date
2915   4093 1991-07-05
3741   4024 1991-07-05
6260   4097 1991-07-01
6262   4096 1991-07-01
7528   4160 1991-07-03
9708   4026 1991-07-01
9709   4027 1991-07-01
11298  4023 1991-07-05",8
3748,1991-07-09,"        FID       date
1004   3603 1991-07-09
6803   3672 1991-07-09
6804   3674 1991-07-09
6805   3673 1991-07-09
7656   3670 1991-07-11
7658   3671 1991-07-11
9375   3601 1991-07-11
9442   3675 1991-07-09
9443   3676 1991-07-09
10384  3602 1991-07-09",10
3673,1991-07-09,"       FID       date
1935  3748 1991-07-09
6803  3672 1991-07-09
6804  3674 1991-07-09
7656  3670 1991-07-11
7658  3671 1991-07-11
9375  3601 1991-07-11
9442  3675 1991-07-09
9443  3676 1991-07-09",8
3674,1991-07-09,"        FID       date
1004   3603 1991-07-09
1935   3748 1991-07-09
6803   3672 1991-07-09
6805   3673 1991-07-09
7656   3670 1991-07-11
7658   3671 1991-07-11
9375   3601 1991-07-11
9442   3675 1991-07-09
9443   3676 1991-07-09
10384  3602 1991-07-09",10
3675,1991-07-09,"        FID       date
1003   3604 1991-07-09
1004   3603 1991-07-09
1005   3605 1991-07-09
1935   3748 1991-07-09
6803   3672 1991-07-09
6804   3674 1991-07-09
6805   3673 1991-07-09
7656   3670 1991-07-11
7658   3671 1991-07-11
9375   3601 1991-07-11
9443   3676 1991-07-09
10384  3602 1991-07-09",12
3601,1991-07-11,"        FID       date
1003   3604 1991-07-09
1004   3603 1991-07-09
1005   3605 1991-07-09
1935   3748 1991-07-09
6804   3674 1991-07-09
6805   3673 1991-07-09
9442   3675 1991-07-09
9443   3676 1991-07-09
10384  3602 1991-07-09",9
3671,1991-07-11,"       FID       date
1935  3748 1991-07-09
6803  3672 1991-07-09
6804  3674 1991-07-09
6805  3673 1991-07-09
7656  3670 1991-07-11
9442  3675 1991-07-09
9443  3676 1991-07-09",7
3670,1991-07-11,"       FID       date
1935  3748 1991-07-09
6803  3672 1991-07-09
6804  3674 1991-07-09
6805  3673 1991-07-09
7658  3671 1991-07-11
9442  3675 1991-07-09",6
1248,1991-08-08,"       FID       date
517   1247 1991-08-08
1150  1206 1991-08-08
1325  1247 1991-08-10
2077  1289 1991-08-08
2681  1206 1991-08-10
5809  1331 1991-08-08
6914  1163 1991-08-08
8507  1289 1991-08-10",8
