origin,destination,count
GVS,MLR,1
GVS,JTL,1
GVS,PZE,1
GVS,OTY,11
GVS,DJG,1
GVS,TGV,4
GVS,TWW,6
GVS,ZBE,4
GVS,YKI,11
GVS,BGO,3
GVS,GUW,1
GVS,QTI,1
GVS,ABC,1
GVS,TWU,1
GVS,CGK,1
GVS,VVC,3
GVS,UQK,2
GVS,JUR,1
GVS,JBU,7
GVS,MWE,5
GVS,NFE,1
GVS,HBL,4
GVS,KTM,1
GVS,NLI,3
GVS,DFL,1
GVS,SWY,1
GVS,DAJ,20
GVS,LAK,6
GVS,TRH,2
GVS,ECD,1
GVS,LEU,7
GVS,CRF,1
LZO,GLK,1
LZO,YKI,1
LZO,ZBU,1
LZO,UQK,2
LZO,TWT,2
LZO,JBU,1
LZO,NLI,1
LZO,HVO,2
LZO,LAK,2
WGY,MLR,2
WGY,OTY,1
WGY,TGV,4
WGY,VBD,1
WGY,YKI,3
WGY,QTI,1
WGY,UQK,1
WGY,JBU,3
WGY,VHR,1
WGY,HBL,1
WGY,SEN,5
WGY,DAJ,1
WGY,LAK,5
WGY,LEU,1
DOK,HYW,4
DOK,FGU,2
DOK,HON,1
DOK,ZBU,1
DOK,UQK,1
DOK,TWT,2
DOK,ZLO,8
DOK,VHR,1
DOK,NLI,2
DOK,ESC,1
DOK,AAF,1
DOK,LAK,2
FAA,OTB,1
FAA,BOC,1
FAA,OTY,2
FAA,BGO,2
FAA,NLI,4
FAA,LAK,4
DUO,GLK,1
DUO,HON,1
DUO,YKI,1
DUO,UQK,1
DUO,JBU,1
DUO,LAK,7
GSC,MLR,1
GSC,SBN,1
GSC,CRS,1
GSC,OTY,3
GSC,JIY,5
GSC,DJG,1
GSC,TGV,5
GSC,TWW,1
GSC,XBE,1
GSC,BGO,1
GSC,QOO,1
GSC,QRH,1
GSC,RRF,1
GSC,TWU,1
GSC,KON,2
GSC,VVC,7
GSC,ZBU,8
GSC,UQK,12
GSC,TWT,3
GSC,MXC,1
GSC,JBU,1
GSC,MWE,8
GSC,NFE,1
GSC,VHR,7
GSC,KDL,1
GSC,HBL,6
GSC,PIX,2
GSC,DFL,1
GSC,HVO,1
GSC,SEN,5
GSC,DAJ,6
GSC,LAK,10
GSC,WVO,2
GSC,GUK,6
MLR,GVS,1
MLR,WGY,1
MLR,GSC,1
MLR,DAD,1
MLR,MPA,1
MLR,CRS,6
MLR,PZE,3
MLR,OTY,8
MLR,DJG,2
MLR,GLK,2
MLR,TGV,21
MLR,KGH,7
MLR,WII,16
MLR,MFJ,1
MLR,ZBE,1
MLR,HON,1
