href,text,time
./202409/t20240930_11501401.shtml,外交部亚洲司司长刘劲松会见日本驻华使馆临时代办横地晃,2024-09-30
./202409/t20240929_11500825.shtml,外交部礼宾司司长洪磊分别接受芬兰、黑山新任驻华大使递交国书副本,2024-09-29
./202409/t20240927_11499079.shtml,中国政府欧洲事务特别代表吴红波出席马耳他独立60周年招待会,2024-09-27
./202409/t20240926_11497963.shtml,外交部亚洲司司长刘劲松会见印度驻华大使罗国栋,2024-09-26
./202409/t20240925_11496396.shtml,中国政府中东问题特使翟隽访问伊朗,2024-09-25
./202409/t20240923_11494984.shtml,中国政府欧洲事务特别代表吴红波出席第三届中外地理标志产品博览会,2024-09-23
./202409/t20240923_11494887.shtml,中英举行军控与防扩散磋商,2024-09-23
./202409/t20240920_11493943.shtml,外交部亚洲司司长刘劲松会见缅甸驻华大使丁貌瑞,2024-09-20
./202409/t20240920_11493916.shtml,中国政府拉美事务特别代表邱小琪出席古巴驻华使馆庆祝中古建交64周年暨双边教育合作60周年招待会,2024-09-20
./202409/t20240920_11493816.shtml,中国—中东欧国家合作秘书处举办中东欧国家驻华使馆通报会,2024-09-20
./202409/t20240920_11493582.shtml,外交部亚洲司司长刘劲松会见瑞典外交部亚太拉美司司长沃尔文,2024-09-20
./202409/t20240919_11493171.shtml,外交部国际司负责人就联合国未来峰会和第79届联合国大会一般性辩论情况向媒体吹风,2024-09-19
./202409/t20240919_11492895.shtml,外交部军控司司长孙晓波与禁止化学武器组织总干事阿里亚斯举行磋商,2024-09-19
./202409/t20240916_11491698.shtml,外交部亚洲司司长刘劲松会见马来西亚外交部秘书长阿姆兰,2024-09-16
./202409/t20240914_11490905.shtml,中国政府拉美事务特别代表邱小琪出席中美洲独立203周年招待会,2024-09-14
./202409/t20240914_11490859.shtml,中国同巴基斯坦举行军控与防扩散磋商,2024-09-14
./202409/t20240913_11490362.shtml,中国政府拉美事务特别代表邱小琪出席智利独立214周年招待会,2024-09-13
./202409/t20240913_11490306.shtml,落实《南海各方行为宣言》第22次高官会在西安举行,2024-09-13
./202409/t20240913_11490288.shtml,中国政府拉美事务特别代表邱小琪出席墨西哥独立214周年招待会,2024-09-13
./202409/t20240911_11488980.shtml,外交部礼宾司司长洪磊接受瑙鲁新任驻华大使递交国书副本,2024-09-11
./202409/t20240910_11488378.shtml,中国政府中东问题特使翟隽同奥地利总理全球事务特别代表劳恩斯基通电话,2024-09-10
./202409/t20240906_11486772.shtml,中国政府中东问题特使翟隽会见法国参议院外交、防务和军事力量委员会副主席莫雷,2024-09-06
./202409/t20240906_11486476.shtml,中国政府拉美事务特别代表邱小琪出席庆祝中巴建交50周年专场音乐会,2024-09-06
./202409/t20240905_11485676.shtml,外交部军控司司长孙晓波与联合国副秘书长、裁军事务高级代表中满泉举行磋商,2024-09-05
./202409/t20240902_11483513.shtml,中非合作论坛第十七届高官会在北京举行,2024-09-02
./202409/t20240902_11483512.shtml,中国政府欧洲事务特别代表吴红波会见爱沙尼亚议会第一副议长、爱中友好小组主席基维迈吉一行,2024-09-02
./202408/t20240830_11482131.shtml,外交部礼宾司司长洪磊接受挪威新任驻华大使戴伟恩递交国书副本,2024-08-30
./202408/t20240829_11481294.shtml,外交部亚洲司司长刘劲松会见印度外交部东亚司联秘戴国澜,2024-08-29
./202408/t20240829_11481293.shtml,中印举行边境事务磋商和协调工作机制第31次会议,2024-08-29
./202408/t20240829_11481159.shtml,外交部亚洲司司长刘劲松会见蒙古新任驻华大使恩赫包勒德,2024-08-29
./202408/t20240829_11480977.shtml,中国政府太平洋岛国事务特使钱波出席第53届太平洋岛国论坛对话会,2024-08-29
./202408/t20240828_11480651.shtml,外交部亚洲司司长刘劲松会见巴基斯坦、尼泊尔驻华大使,2024-08-28
./202408/t20240827_11480091.shtml,外交部礼宾司司长洪磊接受蒙古新任驻华大使恩赫包勒德递交国书副本,2024-08-27
./202408/t20240827_11479978.shtml,中国政府欧亚事务特别代表李辉就乌克兰危机第四轮穿梭外交举行吹风会,2024-08-27
./202408/t20240826_11479669.shtml,外交部亚洲司司长刘劲松同日方举行磋商,2024-08-27
./202408/t20240825_11479246.shtml,外交部官员谈美国总统国家安全事务助理沙利文访华,2024-08-25
./202408/t20240823_11478729.shtml,外交部礼宾司司长洪磊分别接受爱尔兰、津巴布韦新任驻华大使递交国书副本,2024-08-23
