href,text
https://www.state.gov/translations/chinese/20241007-anniversary-of-october-7th-attack-chinese/,"新闻声明
安东尼·布林肯国务卿2024年10月7日
今天，我们迎来一个令人心碎和悲痛的周年纪念日。2023年10月7日，哈马斯屠杀了1200多名男女老幼，其中包括46名美国人和30多个国家的公民，这是自大屠杀（the Holocaust）以来对犹太人的最大规模屠杀。女孩和妇女遭到性侵犯。哈马斯罪行的卑鄙程度几乎无法形容。
哈马斯当天还劫持了254名人质，其中包括12名美国人。其中四名美国人——赫什·戈德堡–波林(Hersh Goldberg-Polin)、伊泰·陈(Itay Chen)、朱迪·温斯坦(Judy Weinstein)和加德·哈盖(Gad Haggai)——被哈马斯杀害。四人根据美国去年11月通过谈判达成的协议获释，但仍有四人被关押在加沙：埃丹·亚历山大(Edan Alexander)、基思·西格尔(Keith Siegel)、萨吉·德克尔–陈(SaguiDekel-Chen)和奥默·诺伊特拉(Omer Neutra)。目前，还有大约97名人质仍被关押在加沙。他们包括来自25多个国家的男子、妇女、男孩、女孩、两名婴儿和老人。哈马斯应立即释放这些人质。他们每个人都必须回到家人身边，美国将继续不遗余力地争取他们获释。
哈马斯10月7日的袭击引发了一年的冲突，给巴勒斯坦人民造成了悲惨的后果。美国对10月7日以及此后一年中死去的每一位无辜者表示哀悼。时不我待，必须立即达成停火协议，让人质回家，减轻以色列和巴勒斯坦人民的痛苦，并最终结束这场战争。
面对恐怖主义和暴力极端主义，包括哈马斯等团体的支持者，国际社会也必须坚定不移地加以反对。国际社会必须谴责伊朗对哈马斯和该地区其他恐怖组织的支持，这些组织造成了大量的死亡、破坏和不稳定。
在这个痛苦的纪念日，美国与以色列站在一起，共同抵御恐怖主义。我们坚定不移地致力于维护该地区的持久和平与稳定，致力于为以色列人和巴勒斯坦人创造一个共同未来，让他们享有同等的安全、尊严、机会和自由。"
https://www.state.gov/translations/chinese/20241007-statement-from-president-joe-biden-marking-one-year-since-the-october-7th-attack-chinese/,"美国白宫
2024年10月7日
去年的今天，太阳升起，照亮本应是一个充满欢乐的犹太节日。然而，到了日落时分，10月7日却成为自大屠杀以来犹太人伤亡最惨重的一天。今天是哈马斯恐怖主义组织在以色列南部屠杀包括46名美国人在内的1200多名不分老幼的无辜者的一周年哀悼日。一年前哈马斯犯下了骇人听闻的性暴力行径。包括12名美国人在内的250多名无辜者被劫持为人质已有一年。一年来，幸存者们承受着可见和不可见的创伤，他们再也无法恢复如初。今天也是惨烈的战争一周年的日子。在这个庄严的周年纪念日，让我们不忘10月7日恐袭事件中罄竹难书的残暴行径，同时也铭记那些在那一天被夺去的美好生命。
10月7日的袭击使数千年来对犹太人的仇恨和暴力所留下的痛苦记忆再次浮现。正因为如此，袭击发生后不久，我成为首位在战争时期访问以色列的美国总统。我当时向以色列人民明确表示：你们并不孤单。一年后，哈里斯副总统和我依然完全致力于犹太人民的安全、以色列的安全及其生存权。我们支持以色列抵御来自真主党（Hezbollah）、哈马斯、胡塞武装（Houthis）和伊朗的攻击的权利。上周，在我的指示下，美国军方再次积极协助成功保卫了以色列，帮助击败伊朗的弹道导弹攻击。
今天以及每天，我都惦念着人质和他们的家人。我曾与人质的家人会面，并与他们同感悲痛。他们经历了地狱般的苦难。本届政府已经通过谈判使包括美国人在内的100多名人质安全获释。在我们让所有剩余的人质安全回家之前，我们永远不会放弃努力。
同时，我强烈谴责美国和世界范围内愈演愈烈的反犹主义。这是不可接受的。我们所有人都必须团结一致，反对反犹主义和一切形式的仇恨。
我相信，由于哈马斯在这一天挑起的冲突，历史也将记住10月7日是巴勒斯坦人民黑暗的一天。在这一年的冲突中，有太多的平民遭受了太多的苦难——成千上万人被杀害，恐怖主义分子躲藏在无辜民众中并进行行动，使得人员伤亡更加惨重。我们将不懈努力，在加沙实现停火协议，让人质回家，大幅增加人道主义援助并缓解当地的苦难，确保以色列的安全，并结束这场战争。以色列人和巴勒斯坦人一样，都应当生活在安全、尊严及和平之中。我们还继续认为，在以色列-黎巴嫩边境地区达成外交解决方案是恢复持久平静、允许双方居民安全返回家园的唯一途径。
在这个纪念日，也是犹太历最神圣的日子之一，我们向犹太人民不屈不挠的精神致敬，并悼念10月7日的受害者。愿对他们的怀念带来祈福。"
https://www.state.gov/translations/chinese/g7-leaders-statement-on-recent-developments-in-the-middle-east-zh/,"美国白宫
2024年10月3日
我们，七国集团（G7）领导人，对不断恶化的中东局势深表关切，并以最强烈的措辞谴责伊朗对以色列的直接军事攻击，这是对地区稳定的严重威胁。
我们明确重申我们对以色列安全的承诺。伊朗通过恐怖主义代理人和武装团体——其中包括胡塞武装、真主党和哈马斯——以及与其结盟的伊拉克民兵组织在整个中东地区采取的严重破坏稳定的行动必须停止。昨天，我们讨论了避免该地区局势升级的协调努力和行动。
袭击和报复行径的危险循环将导致中东局势升级并失控，这不符合任何一方的利益。因此，我们敦促所有地区行为体负责任地、克制地行事。我们鼓励各方进行建设性接触，以缓和当前的紧张局势。国际人道主义法必须得到尊重。
在哈马斯于2023年10月7日发动袭击造成悲剧的周年纪念日前夕，我们再次以最强烈的措辞谴责这种无理的蓄意的暴力行为，并与受害者家属以及被哈马斯劫持的人质站在一起。
我们还再次呼吁立即在加沙停火，无条件释放所有人质，大幅地持续增加人道主义援助送入，并结束这场冲突。我们完全支持美国、卡塔尔和埃及为达成一项符合联合国安理会第2735号决议的全面协议所做的努力。加沙局势是灾难性的，已有数以万计的无辜者丧生。我们重申，平民人口绝对需要得到保护，人道主义援助必须全面、迅速、安全及畅通无阻地进入，这是一项至关重要的要务。我们将继续努力为持久和平创造条件，实现两国解决方案，使以色列和巴勒斯坦和平共处，双方都能享有安全。
我们还对黎巴嫩局势深表关切。我们重申，必须尽快停止敌对行动，以便根据联合国安全理事会第1701号决议，为沿蓝线（Blue Line）达成外交解决方案创造空间。这是持久缓和紧张局势、稳定以色列–黎巴嫩边界、全面恢复黎巴嫩主权、领土完整和稳定，以及让流离失所的公民在双方都享有安全和保障的情况下重返家园的唯一途径。我们敦促所有行为体保护平民人口。我们致力于提供人道主义援助，以满足黎巴嫩平民的迫切需要。
我们还向以色列、加沙和黎巴嫩的平民受害者家属表示深切慰唁。
我们强调联合国在中东地区解决武装冲突及缓解人道主义影响方面的重要性。在这方面，我们肯定联合国驻黎巴嫩临时部队（UNIFIL）在恢复和平与安全方面发挥的作用。我们致力于根据适用的联合国决议加强对这项使命的支持。
为此，我们将继续与所有行动体保持密切联系。"
https://www.state.gov/translations/chinese/peoples-republic-of-china-national-day-2-zh/,"新闻声明
安东尼·布林肯国务卿
2024年10月2日
在中华人民共和国75周年国庆日之际，美利坚合众国向中华人民共和国人民表示祝贺。
美国在与国际社会共同努力应对当今世界所面临的严峻障碍时，我们致力于负责任地管理我们与中华人民共和国的双边关系，并将保持开放的沟通渠道。
我们祝愿中华人民共和国人民在今后的一年和平、繁荣、幸福。"
https://www.state.gov/translations/chinese/20240930-united-states-announces-nearly-2-1-billion-in-humanitarian-assistance-at-the-79th-un-general-assembly-chinese-zh/,"简报发言人办公室2024年9月30日
在第79届联合国大会上，美国宣布提供近21亿美元的人道主义援助，以应对全球前所未有的人道主义需求。这笔资金支持向受危机影响的人们提供关键的、拯救生命的人道主义援助，包括对流离失所者以及在他们需要帮助时予以支持的接纳他们的社区的援助。美国人民为流离失所者提供的慷慨援助包括通过美国国务院人口、难民和移民事务局（Bureau of Population, Refugees, and Migration）提供的超过8.73亿美元，以及通过美国国际发展署（USAID）人道主义援助局（Bureau for Humanitarian Assistance）提供的超过12亿美元。我们呼吁其他国际捐助方也尽一切努力增加人道主义援助资金，以应对影响全球人民的极其巨大的需求。
美国在第79届联合国大会宣布的人道主义援助包括：
–近4.24亿美元用于苏丹地区应对行动：包括向苏丹及其邻国提供援助，以应对始于2023年4月并已成为全球最严峻挑战之一的危机所产生的需求。这将为苏丹及其邻国遭受持续冲突蹂躏的人民提供粮食、卫生、营养、保护和其他重要援助。
–近3.36亿美元用于支持加沙和西岸地区的巴勒斯坦人：这项援助提供了拯救生命的人道主义援助，包括扩大对紧急医疗保健、食品、营养、社会心理服务的支持，以及增加加沙和西岸地区受持续冲突影响的巴勒斯坦平民获得安全饮用水、个人卫生用品和卫生服务的机会。该计划还支持向流离失所的加沙人民提供后勤和紧急住房援助，帮助他们为即将到来的冬季做好准备。
–近5.35亿美元用于叙利亚应对行动：这些援助将帮助满足叙利亚及其邻国最弱势难民、境内流离失所者以及接纳他们的社区的需求，其中包括提供紧急住所、粮食援助、医疗保健以及教育、水、环境卫生和个人卫生用品、对弱势群体的生计支持和保护。
–为罗兴亚（Rohingya）难民以及接纳他们的社区提供近1.99亿美元资金：这项援助将为孟加拉国和该地区的罗兴亚难民以及接纳他们的社区的需求提供支持，还将为那些被迫逃离暴力和迫害的人提供保护、住所和粮食，同时为难民以及接纳他们的社区的备灾和保护工作提供支持，增加接受教育和技能培训的机会，并为难民在条件允许时返回家园做好准备。
–5.97亿美元用于西半球的移民工作：这项援助将满足该地区难民、弱势移民以及其他流离失所者和无国籍人员的需求，包括提供诸如紧急粮食援助、住所、紧急医疗保健、改善当地饮用水和卫生基础设施、获得保护服务的渠道以及支持当地学校等挽救生命的援助。该援助还支持“安全迁移倡议”（Safe Mobility Initiative），推进《洛杉矶移民和保护宣言》（Los Angeles Declaration on Migration and Protection）的目标，促进责任分担、增进稳定并为受影响社区提供援助。"
https://www.state.gov/translations/chinese/20240930-g7-foreign-ministers-statement-on-ukraine-chinese/,"媒体简报
美国国务院发言人办公室2024年9月30日
以下声明由加拿大、法国、德国、意大利、日本、英国和美利坚合众国七国集团（G7）的外交部长以及欧盟高级代表发布。
[声明开始]
值此俄罗斯非法吞并乌克兰顿涅茨克州（Donetsk）、卢甘斯克州（Luhansk）、赫尔松州（Kherson）和扎波罗热州（Zaporizhzhia）部分地区两年之际，我们七国集团的加拿大、法国、德国、意大利、日本、英国、美利坚合众国外交部长和欧盟高级代表坚定地与乌克兰站在一起，维护其领土完整、主权和独立。
我们永远不会接受俄罗斯对乌克兰及其人民犯下的这些或其他违反国际法的暴行，我们将继续以最强烈的措辞谴责俄罗斯的非法侵略、其在乌克兰临时占领地区侵犯和践踏人权的行为，以及持续进行的破坏民用、关键和城市基础设施的野蛮攻击。
我们呼吁国际社会所有成员也这样做，并敦促作为联合国安全理事会常任理事国的俄罗斯遵守《联合国宪章》以及确立国际秩序的基本原则。
我们对乌克兰及其合法抵御俄罗斯全面侵略的政治、军事、财政、经济和人道主义支持依然坚定不移，我们要让俄罗斯为其非法战争付出高昂代价的承诺也同样坚定不移。这些措施将有助于为建立在《联合国宪章》原则基础上的全面、公正和持久和平创造适当条件。为此，我们将继续与更广泛的国际社会合作，以恢复对基于规则的国际秩序的充分尊重。
如果俄罗斯立即、完全、无条件地将其军队从乌克兰全部领土撤至国际公认的边界，撤回其对顿涅茨克、卢甘斯克、赫尔松和扎波罗热地区以及克里米亚自治共和国（Autonomous Republic of Crimea）和塞瓦斯托波尔市（Sevastopol）的吞并索求，并尊重乌克兰作为独立国家的主权，那么这场侵略战争现在就可以结束。
[声明结束]"
https://www.state.gov/translations/chinese/20240930-secretary-antony-j.-blinken-at-the-opening-of-the-d-isis-ministerial-chinese,"华盛顿特区美国国务院
洛伊·亨德森礼堂2024年9月30日
布林肯国务卿：非常感谢大使。各位同仁，早上好，欢迎你们。对于在纽约的各位，我知道你们只是想让高级别会议周继续下去，所以我们很高兴能在华盛顿满足你们的愿望。
不过，言归正传，在我们开始之前，请允许我就过去一周发生的事件简单说几句。哈桑·纳斯鲁拉（Hassan Nasrallah）是一个残暴的恐怖主义分子，他的众多受害者包括美国人、以色列人、黎巴嫩平民、叙利亚平民，以及其他许多人。在他领导真主党（Hizballah）期间，该组织恐吓整个地区的人民，阻碍黎巴嫩作为一个国家的全面发展。没有他，黎巴嫩、该地区、世界会更安全。
美国将继续与我们在该地区和世界各地的伙伴合作，推动外交解决方案，为以色列和黎巴嫩提供真正的安全，并允许边界两侧的公民返回家园。同样，我们将继续努力在加沙达成停火协议，让人质回家，减轻加沙人民的苦难，为整个地区保留实现更持久、更安全的和平的可能性。
外交仍然是实现中东更大稳定的最佳且唯一途径。美国仍然致力于紧迫地推动这些努力。
下面我谈谈本次部长级会议的主题，10年前，美国动员了一个全球联盟来抗击伊斯兰国组织（ISIS）——或称 “达伊什”（Daesh）。这是一个虚无主义恐怖组织，在几个月的时间里，该组织占领了伊拉克和叙利亚两国三分之一的领土，并利用这些地盘实施了骇人听闻的暴力和残暴行动。
在随后的10年中，这个联盟从12个国家发展到87个国家。我们共同取得了重大进展。2017年，联盟伙伴摧毁了ISIS在伊拉克的最后一个据点。两年后，我们在叙利亚采取了同样的行动——有效地结束了ISIS建立一个地理上的哈里发国的企图。我们对ISIS控制的资产实施了协调一致的制裁，以阻止该组织的招募和扩张。在过去五年中，我们共同投资数十亿美元，帮助一些遭受ISIS破坏的社区恢复安全和公共基础设施。
这些都是来之不易的重要成就。但我们知道，我们的工作尚未完成。由于ISIS试图在中东重建势力，并在亚洲和非洲扩大地盘，我们的联盟必须对我们面临的不断变化的挑战保持清醒的认识。正如上周所提醒我们的那样，这是中东局势极为动荡的时刻。我们比以往任何时候都更有必要加大努力，加强包括伊拉克和叙利亚在内的安全与稳定，防止ISIS等极端主义分子利用该地区的冲突为其捞取好处。
为此，请允许我简要概述我们今天将重点讨论的三个核心领域。
首先，美国和伊拉克将讨论“固有决心行动”（ Operation Inherent Resolve）分阶段过渡的计划，我们也将与我们的其他联盟伙伴讨论这一计划。这项军事行动是应伊拉克2014年提出支持其打击ISIS的请求而设立的，该行动在伊拉克的实施将于2025年9月结束。在此期间，美国将与巴格达合作制定双边安全安排，使我们能够维持及建立我们的安全伙伴关系与合作。
我们的伊拉克伙伴进而将承担更大责任，确保ISIS无法重新占领伊拉克境内的领土。我们非常感谢伊拉克和伊拉克安全部队在这一努力中做出的所有牺牲奉献，以及他们在打击ISIS方面所发挥的坚定的领导作用。
随着我们的合作进入新阶段，我们希望继续与我们的联盟伙伴合作，其中包括北约驻伊拉克特派团，它打算继续与伊拉克保持安全关系。
只要有需要，美国还将继续在伊拉克境外（包括叙利亚）开展反恐行动。就在本月，美国特种部队在叙利亚成功针对多名ISIS高层领导人采取了行动，表明了我们削弱并瓦解该组织及其附属组织的决心。
其次，我们的联盟今天将讨论遣返外国战斗人员及其家属的问题——这仍然是解决叙利亚东北部人道主义和安全危机的唯一持久解决方案。
叙利亚东北部居住着来自60多个国家的43000多名流离失所者。其中大多数是儿童，他们从小就无家可归。
与此同时，大约有9000名战斗人员仍被关押在叙利亚东北部的拘留设施中，这是世界上最大的一个集中关押点。即使在监禁期间，这些极端主义分子仍然试图扩充其队伍。
越来越多的联盟伙伴正在加紧应对这一挑战。自2021年以来，伊拉克政府已经接受被遣返的10400多名公民。去年，吉尔吉斯共和国接受了被遣返的超过432名国民。科威特等合作伙伴也为遣返工作提供了帮助，允许从叙利亚起飞的飞机在其空军基地加油。
然而，我们知道遣返仍然是一个复杂而困难的问题。但如果我们不采取行动，当地的安全状况只会变得更糟。我们可能会看到这些战斗人员再次拿起武器，威胁我们如此努力奋斗来保护并支持的社区。现在不是松懈的时候。我们必须继续努力。
我们必须紧急加快工作，遣返叙利亚东北部的被拘留者和流离失所者，使他们重返社会，并根据情节对他们进行起诉。美国随时准备在后勤和外交上提供支持，以推进这一努力。
最后，我们将加强合作，在中东以外地区打击ISIS。
在撒哈拉以南非洲地区，ISIS分支势力不断扩大，加剧了现存武装团伙的威胁。
为了应对这一日益严重的威胁，美国、意大利和摩洛哥于2021年成立了联盟非洲焦点小组（Africa Focus Group）。去年在利雅得（Riyadh），我们欢迎沙特阿拉伯成为这一行动的共同牵头国。我们已经帮助非洲伙伴更好地协调一致，以支持由文职政府主导的反恐行动。
以中亚和南亚为基地的ISIS-Khorasan组织带来了独特的挑战。该组织在中亚和南亚发动小规模叛乱的同时，还利用网上招募人员在世界各地发动恐怖袭击，包括今年早些时候在伊朗和俄罗斯发动的袭击。
通过由美国、阿联酋和英国领导的联盟通信工作组（Communications Working Group），我们正与新闻记者、公民社会团体和活动人士合作，反击ISIS所试图散布的空洞承诺。
在未来的一年里，我们必须继续推动这些关键工作。
本着这一精神，我今天上午宣布，美国将提供1.48亿美元，以加强撒哈拉以南非洲地区和中亚地区由文职政府主导的边境安全和反恐行动。
另外，我们将向联盟的年度伊拉克和叙利亚稳定承诺（Stabilization Pledge）活动捐款1.68亿美元。这笔援助将用于关键的排雷行动、恢复水电等基本服务、投资教育以及促进经济机会。
在做出这一承诺之前，美国上周在纽约宣布向叙利亚人民以及居住在该国的流离失所者社区追加提供5.35亿美元的人道主义援助。
这场斗争已经进行了10年，我们可以为所取得的一切成就引以为傲。但随着挑战的演变，这个联盟也必须随之变化。
正如我所说，现在不是松懈的时候。现在是重新做出承诺的时候——重新承诺我们的共同使命，彻底击败ISIS，确保我们所有国家的人民都享有更大的安全和稳定。
我感谢大家今天与会，但更重要的是，我感谢你们每天所做的一切，让这个联盟团结一致，继续在推动我们共同的使命中不断前进。
非常感谢你们。谢谢大家。 (掌声)"
https://www.state.gov/translations/chinese/secretary-antony-j-blinken-at-a-press-availability-52-zh/,"纽约州纽约市
皇宫酒店（The Palace Hotel）
2024年9月27日
布林肯国务卿：大家下午好。
过去一周——尤其是过去几小时的事件——突显了中东地区和全世界目前所处的危险时刻。
以色列有权抗击恐怖主义并保卫自己，但其行动方式也很重要。
所有各方在未来几天内做出的选择将决定该地区所走的道路——这在当前并可能在未来都对其人民产生深远的影响。
一条道路是外交途径。
在以色列和黎巴嫩边境达成停火，使两国人民能够安全地返回家园，并在安全的环境中生活。
在加沙达成停火，让人质返回家园，能够大幅增加向急需人道主义援助的人们提供救援，并保障在加沙及该地区更持久的安全的可能性。
另一条道路导致冲突——更多的冲突、更多的暴力、更多的痛苦以及更大的不稳定和不安全——其影响将波及全球。
美国已经明确表示——与七国集团、欧盟、海湾地区的合作伙伴以及许多其他地区一道——我们相信前进的途径是通过外交，而不是冲突。
外交道路在此刻可能难以看清，但它确实存在，而且我们认为是必要的。我们将继续与所有各方密切合作，敦促他们选择这条道路。
我还要明确表示，任何人若利用这个时刻攻击美国人员或美国在该地区的利益——美国将采取一切措施来保护我们的人民。
让我也来谈谈乌克兰问题。
本周，我们采取了重要措施，支持乌克兰人民继续抵御俄罗斯的持续侵略，继续捍卫他们的主权和独立，以及他们书写自己未来的权利。
在周二的安理会会议上，绝大多数国家谴责了俄罗斯的残酷征服战争，并呼吁根据《联合国宪章》实现公正且持久的和平。
其关键在于对伊朗、朝鲜和中国施压——中国是安理会常任理事国——以使他们停止提供武器、火炮、机械和其他支持，这些支持正在被普京用来摧毁乌克兰的住房、能源网络和港口。
正如我们本周所看到的，对乌克兰的支持不仅仅是口头上的，而且是实实在在的。
数十个国家汇集起来，承诺帮助乌克兰重建。
七国集团及其他伙伴做出了更多承诺，以加强其能源基础设施来应对俄罗斯的持续攻击——发送更多的设备，如涡轮机、便携式发电机，这些对于保持供电并让乌克兰人取暖，并为住房、教室和工厂供暖至关重要，因为随着冬季的临近，俄罗斯正企图将天气武器化。
周三，拜登总统和我会见了泽连斯基总统，讨论了乌克兰赢得这场战争的前进道路，他们在周四、也就是昨天在华盛顿继续了这一讨论。
为了帮助乌克兰勇敢的保卫者和公民们，我们宣布了一项大幅增加支持的计划：80亿美元的新安全援助，其中包括远程弹药、增加提供一个“爱国者”防空系统，以及为更多的乌克兰F-16飞行员提供培训。
从上周六在威尔明顿的四方领导人峰会开始一直到本周期间，我们也推进了我们对自由、开放、安全、繁荣的印太地区的愿景。
拜登总统会见了越南总书记苏林，以深化两国之间的全面战略伙伴关系。
我们正在加强在各个领域的合作，从建立有韧性的半导体供应链到应对湄公河的环境挑战。
我们将在两周后在老挝举行的东盟峰会上继续这些对话。
我与日本和韩国的有关官员一起采取了措施，将我们的三边合作制度化——在历史性的戴维营峰会的基础上，重申我们共同致力于建立三边秘书处以推进这项工作。
我刚刚还与中国外交部长王毅进行了坦诚且具有实质性的会谈。
我们讨论了落实我们的领导人去年在伍德赛德所做的承诺的步骤——例如努力阻止合成麻醉品和前体化学品流入美国、改善我们军方之间的沟通以及讨论人工智能的风险。
我强调了维护台湾海峡的和平与稳定的重要性，并对中华人民共和国在南中国海危险的、破坏稳定的行为表示关切。
我还强调了我们对中国支持俄罗斯国防工业基础的严重关切，这种支持强化了俄罗斯的战争机器，并使这场中国声称希望看到其结束的战争长期持续。
在这一周期间，我们还与合作伙伴共同应对了全球所面临的许多其他关键挑战。
我们致力于在苏丹实现停火，无障碍地提供人道主义援助以及公民治理。
我们努力为海地的多国安全支持使命争取更多的资源和支持。
我们协调措施，增加对委内瑞拉马杜罗政权的国际压力，以制止其对委内瑞拉人民的广泛镇压，尊重他们通过投票箱表达的意愿和他们的选票。
这些考验以及更多的考验突显了全球面临的种种挑战的严重程度，但也强调了外交的至关重要。
我们没有退缩的余地。在接下来的时间里，以及在本届政府今后的每一天里，我们都将继续全力以赴地应对这些挑战，努力创造一个更美好的世界。谢谢大家。
（问答部分从略）"
https://www.state.gov/translations/chinese/20240927-secretary-blinkens-meeting-with-peoples-republic-of-china-prc-director-of-the-ccp-central-foreign-affairs-commission-and-foreign-minister-wang-yi-zh/,"美国国务院
发言人办公室
会谈纪要
2024年9月27日
发言人马修·米勒发布的会谈纪要如下：
美国国务卿安东尼·布林肯今天在纽约市举行的第79届联合国大会期间会见了中华人民共和国中共中央外事工作委员会办公室主任兼外交部长王毅。双方就一系列双边、地区和全球问题进行了坦诚的、实质性的、有成效的讨论。他们强调了保持沟通渠道畅通的必要性。
布林肯国务卿强调了利用外交方式负责任地管理竞争、坦诚地讨论存在分歧的领域以及在对于美国人民和全世界具有重大意义的合作领域取得进展的重要性。他们讨论了2023年伍德赛德峰会的各项承诺的落实情况，其中包括打击毒品的合作以阻止合成麻醉品和前体化学品流入美国，以及军方对军方的沟通，还有关于人工智能的风险和安全性的会谈。
布林肯国务卿强调了美国对中华人民共和国支持俄罗斯的国防工业基础及其对乌克兰的侵略战争继续表示关切，并明确指出中华人民共和国需要应对俄罗斯对跨大西洋安全的威胁。他强调了保持台湾海峡的和平与稳定的重要性，并对中华人民共和国在南中国海危险的、破坏稳定的行为表示关切。
布林肯国务卿重申，解决在中国被拘押或被禁止出境的美国公民的案件仍然是一项首要要务。他还提出了有关人权的种种关切，其中涉及新疆、西藏和香港。国务卿还谈到了与技术相关的关切；美国的政策依然旨在制止先进的美国技术被用来损害我们的国家安全。双方同意保持联系，包括在地区和全球问题上。"
https://www.state.gov/translations/chinese/united-states-announces-new-support-for-protection-of-ukrainian-cultural-heritage-zh/,"美国国务院
发言人办公室
媒体简报
2024年9月26日
今天，美国负责公共外交和公共事务的代理副国务卿（Acting Under Secretary of State for Public Diplomacy and Public Affairs）李·萨特菲尔德（Lee Satterfield）与乌克兰总检察长（Prosecutor General）、欧洲各国领导人以及主要利益相关方一起，在联合国大会举行会议期间宣布了由美国国务院的乌克兰文化遗产应对计划（Ukraine Cultural Heritage Response Initiative）资助的两个新项目，并强调美国将继续支持乌克兰人民及其保护及维护乌克兰文化的努力。
其一，美国将与宾夕法尼亚大学（University of Pennsylvania）文化遗产中心（Cultural Heritage Center）合作，帮助确保乌克兰人拥有修复及恢复受损文化遗产所需的数据和技能，并驳斥俄罗斯就其无端发动的战争以及乌克兰独特的文化特征所散布的虚假言论。其二，美国联邦调查局和美国司法部检察官将与乌克兰总检察长合作，加强乌克兰调查、起诉及追查从乌克兰掠夺、盗窃及贩运的文化财产并起诉相关责任人的能力。
萨特菲尔德代理副国务卿还强调了9月10日实施的对某些类别的乌克兰文化财产实施紧急进口限制的重要性。这些限制措施的有效期将持续到2029年3月，美国国务院将与美国司法部和国土安全部协调，阻止非法转移及出售乌克兰文化遗产，并推进没收及合法归还这些文化遗产。
上周，在意大利那不勒斯（Naple）举行七国集团文化部长会议（G7 Culture Ministerial）之前，代理副国务卿萨特菲尔德宣布向国际文化财产保护与修复研究中心（ICCROM）捐款100万美元，用于帮助乌克兰保护因冲突以及包括自然灾害在内的其他危机而面临风险的文化遗产的一个项目。
_______________________________________________________________________"
