品牌,车名,图片链接,月销量,价格,生产商,排名,车型,能源类型,发售日期,保修年限
特斯拉,Model Y,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/60b8a92b0b304e60a4d0e8bc2f4f2272~tplv-resize:640:0.png,47917,"[24.99, 35.49]",特斯拉中国,1,中型SUV,纯电动,2024.02,4年或8万公里
比亚迪,秦PLUS DM-i,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b16feb96960c4b178686faea93e71f3c~tplv-resize:640:0.png,31016,"[7.98, 12.58]",比亚迪,2,紧凑型车,插电式混合动力,2024.02,6年或15万公里
日产,轩逸,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f5483079e6094fb898c14f3b3d6c1493~tplv-resize:640:0.png,29674,"[6.98, 14.49]",东风日产,3,紧凑型车,汽油,2024.01,3年或10万公里
比亚迪,海鸥,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/af600c6bd2844b1fa774fd19a23466da~tplv-resize:640:0.png,27866,"[6.98, 8.58]",比亚迪,4,小型车,纯电动,2024.03,6年或15万公里
比亚迪,宋Pro DM-i,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/91291cb770c44932a3f6c14feedc82b3~tplv-resize:640:0.png,27446,"[10.98, 13.98]",比亚迪,5,紧凑型SUV,插电式混合动力,2024.03,6年或15万公里
比亚迪,宋PLUS DM-i,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f9d266bdf7d44b418eee09141be33ec0~tplv-resize:640:0.png,23910,"[12.98, 16.98]",比亚迪,6,紧凑型SUV,插电式混合动力,2024.02,6年或15万公里
比亚迪,元PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0a5a6f5f1e4e417f823a51d894fa7345~tplv-resize:640:0.png,21951,"[11.98, 14.78]",比亚迪,7,紧凑型SUV,纯电动,2024.03,6年或15万公里
大众,朗逸,https://p3-dcd.byteimg.com/img/motor-mis-img/28d677a5f94a5a24103f088dd94c8515~tplv-resize:640:0.png,21216,"[7.99, 11.69]",上汽大众,8,紧凑型车,汽油,2023.09,3年或10万公里
奔驰,奔驰C级,https://p3-dcd.byteimg.com/img/motor-mis-img/fd1771f592228d51d414ac0e5fa2469c~tplv-resize:640:0.png,20700,"[25.32, 30.06]",北京奔驰,9,中型车,48V轻混系统,2023.1,3年不限公里
大众,帕萨特,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c9ddb9ea9b9047029212858b14caba31~tplv-resize:640:0.png,19446,"[13.89, 20.23]",上汽大众,10,中型车,汽油,2023.1,3年或10万公里
比亚迪,秦PLUS EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f2c7ac4f763b45f99d6492adc2ee9f39~tplv-resize:640:0.png,19378,"[10.98, 15.98]",比亚迪,11,紧凑型车,纯电动,2024.02,6年或15万公里
奔驰,奔驰GLC,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ced6f5cfd808493d8380351b584516c2~tplv-resize:640:0.png,19000,"[34.78, 45.13]",北京奔驰,12,中型SUV,48V轻混系统,2024.03,3年不限公里
比亚迪,驱逐舰05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fdd396bacd4e433699c66a8dc73db8db~tplv-resize:640:0.png,18803,"[7.98, 12.88]",比亚迪,13,紧凑型车,插电式混合动力,2024.02,6年或15万公里
