景点名称,攻略数量,点评数量,景点排名,驴友去过,星级,描述,综合评分
苏州博物馆Suzhou Museum,239,2522,3,45,94,由贝聿铭设计的新馆清新雅致，欣赏镇馆之宝越窑秘色瓷莲花碗。,117.9
拙政园Humble Administrator's Garden,346,12983,1,66,92,“中国四大名园”之一，世界文化遗产。,157.8
寒山寺Hanshan Temple,152,3147,4,39,92,千年名寺，诗句“姑苏城外寒山寺”的出处，来此撞钟、祈福。,88.8
观前街Guanqian Street,192,1299,1,19,90,松鹤楼、黄天源，苏州老字号里吃美食；游览街名的来源玄妙观。,92.2
周庄Zhouzhuang,7,7975,1,19,90,小桥流水与人家，双桥水巷摇橹船，还有沈万三的足迹待你寻访。,36.7
枫桥景区Fengqiao Scenic Area,4,585,71,0,90,《枫桥夜泊》的典故之地，走枫桥、坐游船怀古；登古铁铃关观景。,28.2
山塘街Shantang Street,235,3424,2,37,90,欣赏苏州老城风貌，参观会馆等古迹，乘游船，拍摄美丽的夜景。,112.3
葑门横街FengMen HengJie,0,24,,0,90,,27.0
周庄张厅Zhang Hall,2,404,2,4,92,周庄少量明代建筑之一，具官宅特点，后花园的私人码头很有看头。,29.8
虎丘山风景名胜区Tiger Hill,178,5597,6,38,92,山体与江南园林风光相融，精致秀美，了解春秋旧事，观虎丘斜塔。,96.2
同里古镇Tongli Ancient Town,106,4059,1,11,90,五湖环抱的江南水乡古镇，走三桥，参观小巧精致的园林退思园。,63.2
南湖园全福讲寺Quanfu Temple,9,169,3,3,86,典型的园林寺庙，寺庙建筑浮于水上，假山亭台环绕，风光优美。,29.7
周庄博物馆Zhouzhuang Museum,1,96,18,4,86,,27.7
南湖秋月园Nanhu Qiuyue Garden,3,52,7,0,90,,27.9
三山岛Sanshan Island,1,158,1,0,84,爬山，在湖边漫步，看太湖石与烟波飘渺的湖景。,25.5
穹窿山Qionglong Mountain,5,724,74,0,92,登苏州最大的山，在成片森林里深呼吸，寻访孙武等古代名人足迹。,29.1
木渎古镇Mudu Ancient Town,13,1401,64,0,90,以园林为特色的古镇，游严家花园等古典园林，坐船看小桥流水。,30.9
狮子林Lion Forest Garden,211,3947,7,48,94,苏州四大名园之一，以假山闻名，数石狮子、钻石头迷宫乐趣无穷。,110.7
西园寺Xiyuan Temple,15,202,26,1,92,苏州城内的一座寺庙园林，欣赏寺庙与苏州园林相结合的建筑风格。,32.5
网师园Master of the Nets Garden,54,912,23,10,94,以小巧精致著称的园林，了解布局的奥妙，夜游时欣赏曲艺表演。,48.4
苏州上方山国家森林公园Shangfangshan Hill National Forest Park,1,352,648,0,92,苏州近郊的赏花胜地，还能在这里划船、登高、骑单车，与家人一起过个休闲假日。,27.9
留园Lingering Garden,120,2238,11,23,94,小家碧玉式的苏州园林，观赏园中三宝：冠云峰、楠木殿和鱼化石。,73.4
十全街Shiquan Street,17,168,2,4,88,,33.1
锦溪古镇Jinxi Ancient Town,9,1370,4,1,88,看古莲桥，参观民间藏馆，探陈妃水冢。,29.5
富安桥Fu'an Bridge,4,179,12,0,86,周庄古镇较古老的桥，桥楼的一楼与二楼并不相通，构造独特。,27.0
沙家浜风景区Shajiabang Scenic Area,3,1561,20,0,92,京剧样板戏《沙家浜》的发源地，访剧中场景，坐船深入芦苇荡。,28.5
虞山景区Yushan Scenic Spot,2,775,3,0,90,登山顶剑门景区俯看尚湖，爬虞山城墙观城景，在兴福寺吃蕈油面。,27.6
尚湖风景区Shanghu Lake Scenic Area,2,1393,5,0,92,常熟市内旅游必去地，湖边散步，远眺虞山，水上森林里深呼吸。,28.2
诚品书店Eslite Bookstore,58,569,2,1,94,诚品书店是集文具、餐饮娱乐于一体的综合大楼。,46.0
菉葭生态园Lujia Ecological Park,0,0,,0,60,,18.0
昆山慧聚寺Kunshanhuiju Temple,0,14,21,0,92,,27.6
陆上芦苇迷宫Reed Maze,3,74,65,0,92,,28.5
横泾老街Hengjinglao Jie Yingshi Base,1,48,711,0,92,,27.9
太湖Taihu Lake,92,113,1,1,92,,55.6
黄桥梅花园,0,0,,0,80,,24.0
旺山风景区Wang Mountain Sceneic Area,0,51,341,0,86,,25.8
沧浪亭Canglang Pavillion,45,641,14,9,94,苏州现存古老的园林，人少清静，复廊上的花窗非常精美。,45.3
北塔报恩寺North Temple Tower,31,323,16,6,92,,39.3
平江路历史街区Pingjiang Road,294,2704,5,35,92,漫步保存完整的古街区，看小桥流水古宅，逛文艺小店，吃美食。,129.8
艺圃Garden of Cultivation,16,214,24,1,94,,33.4
盘门Pan Gate,33,1098,19,5,92,攀登、坐船游览全国唯一的水陆城门盘门，走吴门桥，参观瑞光塔。,39.5
环秀山庄Huanxiu Villa,5,143,32,1,88,,28.3
石路国际商城Shilu Street,6,60,7,0,88,,28.2
金鸡湖Jinji Lake,52,2206,12,8,90,看东方之门等高楼，坐摩天轮，乘船夜游，感受苏州现代化的一面。,45.8
夜游护城河Suzhou City Moat,5,172,5,0,90,夜游护城河，酣畅淋漓地赏姑苏枕河人家的长卷画轴。,28.5
苏州古运河Suzhou Ancient Canal,3,773,15,7,92,赏河畔苏州美景，聆听评弹演出的动人韵律，感受风情万种的迷人苏州。,31.3
太平天国忠王府Site of King Zhongwang’s Residence,54,61,35,7,80,是我国历史上遗存下来最完整的农民起义军王府，与拙政园相邻。,43.0
甪直古镇Luzhi Ancient Town,23,1055,1,2,88,清静的水乡古镇，赏保圣寺的精美泥塑，访叶万盛米行。,34.1
沈厅,2,35,11,1,90,整个厅堂是典型的“前厅后堂”的建筑格局，气宇轩昂，布置精当。,28.0
退思园Tuisi Garden,29,560,3,4,92,,37.9
双桥Shuangqiao,1,787,8,5,92,周庄地标，造型优美，因陈逸飞的画作《故乡的回忆》而出名。,29.9
沈万三故居Shenwansan Former Residence,4,193,16,0,90,仿造沈万三故居而建，透过泥塑等手法，介绍了沈万三的传奇人生。,28.2
玄妙观Xuanmiao Temple,18,263,42,2,88,玄妙观历史悠久、建筑宏伟、文物古迹众多，是全国重要的道教宫观之一。,32.6
逸飞之家Former Residence of Chen Yifei,2,68,20,0,88,陈设着与陈逸飞有关的旧物，清幽小院中的桂花和海棠惹人喜爱。,27.0
迷楼Milou House,1,101,4,0,86,临河而立的木质小楼，风貌如旧，曾是南社发起人的集会地。,26.1
澄虚道院Chengxu Taoist Temple,2,66,10,1,82,距今已有900多年历史的道院，可祈福吉祥。,25.6
周庄全福塔,1,4,9,0,60,全福塔是一座集观赏与实用于一身的仿古造型的水塔。,18.3
怡园Yiyuan Garden,14,198,50,1,94,,32.8
天孝德民间收藏馆,1,12,21,0,88,,26.7
沈万三水冢Shen Wansan's Tomb,1,83,13,0,82,位于银子浜底的墓，非常神秘，地面建筑上写有沈万三的生平介绍。,24.9
贞丰桥Zhenfeng Bridge,2,80,22,1,86,因周庄古名而得名，有三百多年历史，与迷楼相映，风光优美。,26.8
崇本堂Tongli Chongben Hall,8,105,4,2,82,,27.8
城隍庙Suzhou City God Temple,41,81,39,2,88,,39.5
嘉荫堂Jiayintang,7,131,5,2,90,,29.9
珍珠塔Pearl Tower,9,160,2,1,90,,30.1
唐寅祠Tang Yin Temple,6,46,46,0,80,,25.8
三桥Third Bridges,11,231,6,2,90,,31.1
苏州丝绸博物馆Suzhou Silk Museum,8,162,65,1,90,,29.8
罗星洲Luoxing Island,8,86,8,1,80,,26.8
千灯石板街Shiban Street,2,67,1,1,88,,27.4
千灯古镇Qiandeng Ancient Town,3,751,5,0,88,脚踏江苏省最长的石板街，头顶两侧屋檐形成的一线天。,27.3
静思园Jingsiyuan,3,206,63,0,92,,28.5
天平山Tianpingshan,20,1172,36,1,92,范仲淹先祖归葬地，走乱石路体验爬山乐趣，11月中下旬赏红枫。,34.0
耕乐堂Gengle Hall,6,146,9,1,90,,29.2
东吴大学旧址Dongwu Former Site of University,4,39,107,0,90,,28.2
山塘书院Shantang Academy,2,17,27,0,88,,27.0
铁铃关Tieling Pass,4,59,113,0,90,,28.2
胥门Xu Gate,4,49,117,0,92,,28.8
苏州大学本部-博物馆Suzhou University,37,214,18,2,88,坐落在“人间天堂”的古城苏州，满校园的老式建筑非常具有历史感。,38.3
