名称,大类,中类,经度,纬度,省份,地级市,区县
南汇嘴观海生态公园,旅游景点,公园,121.971697,30.88122,上海市,上海市,浦东新区
南汇嘴观海公园,交通设施,公交站,121.971778,30.882131,上海市,上海市,浦东新区
横沙岛湿地公园,旅游景点,景点,121.888608,31.33477,上海市,上海市,崇明区
东滩湿地公园,旅游景点,公园,121.951271,31.517016,上海市,上海市,崇明区
上海廊下郊野生态公园,旅游景点,公园,121.164784,30.776456,上海市,上海市,金山区
宠四季宠物主题生态公园,旅游景点,公园,121.157025,30.786733,上海市,上海市,金山区
花开海上生态公园,旅游景点,其他,121.118545,30.886977,上海市,上海市,金山区
松江泖港湿地公园,旅游景点,公园,121.125535,30.922978,上海市,上海市,松江区
惠缘生态公园,休闲娱乐,农家乐,121.226147,30.824665000000003,上海市,上海市,金山区
上海漕泾郊野公园,旅游景点,公园,121.396732,30.827576,上海市,上海市,金山区
米市渡松南郊野公园,旅游景点,公园,121.250418,30.970458,上海市,上海市,松江区
米市渡松南郊野公园,旅游景点,景点,121.250424,30.970496,上海市,上海市,松江区
青西郊野公园,交通设施,公交站,120.993339,31.047782,上海市,上海市,青浦区
太浦河白渔荡湿地公园,旅游景点,公园,120.972885,31.021077,上海市,上海市,青浦区
青西郊野公园,旅游景点,公园,120.996419,31.068545,上海市,上海市,青浦区
上海人文纪念生态公园,旅游景点,公园,121.134579,31.110491,上海市,上海市,青浦区
凯博生态公园,休闲娱乐,其他,121.128667,31.122795,上海市,上海市,青浦区
南闸生态公园,旅游景点,公园,121.531792,30.821075,上海市,上海市,奉贤区
碧海金沙索道滑水生态公园,旅游景点,公园,121.55138,30.81819,上海市,上海市,奉贤区
东海森林生态公园,旅游景点,其他,121.519115,30.817655,上海市,上海市,奉贤区
上海海湾国家森林公园,旅游景点,景点,121.6906,30.861557,上海市,上海市,奉贤区
海湾国家森林公园,交通设施,公交站,121.678841,30.866688,上海市,上海市,奉贤区
二桥村党建微生态公园,旅游景点,公园,121.652849,30.95848,上海市,上海市,奉贤区
奉贤滩涂区湿地公园,旅游景点,景点,121.590805,30.832962,上海市,上海市,奉贤区
滴水湖儿童郊外生态公园,旅游景点,公园,121.938635,30.885898,上海市,上海市,浦东新区
春花秋色城市生态公园,旅游景点,公园,121.951813,30.882186,上海市,上海市,浦东新区
滴水湖儿童生态公园,旅游景点,公园,121.948903,30.88805,上海市,上海市,浦东新区
南汇新城春花秋色生态公园,旅游景点,公园,121.950104,30.877837,上海市,上海市,浦东新区
人工湿地公园,旅游景点,其他,121.952592,30.882466,上海市,上海市,浦东新区
南汇新城星空之境海绵生态公园,旅游景点,公园,121.930225,30.915451,上海市,上海市,浦东新区
上海玄圃生态公园,运动健身,其他,121.854036,31.024365,上海市,上海市,浦东新区
玄圃石斛生态公园,运动健身,其他,121.853822,31.024045,上海市,上海市,浦东新区
上海引华农庄生态公园,运动健身,其他,121.72347,30.986926,上海市,上海市,浦东新区
潘石生态公园,旅游景点,公园,121.637192,31.419853,上海市,上海市,崇明区
晨光农业生态公园,休闲娱乐,其他,121.806228,31.534384,上海市,上海市,崇明区
古银杏生态公园,旅游景点,公园,121.651401,31.531564,上海市,上海市,崇明区
鲁玙市民生态公园,旅游景点,公园,121.694856,31.56957,上海市,上海市,崇明区
鲁玙科普生态公园,旅游景点,公园,121.698836,31.568236,上海市,上海市,崇明区
黄杨生态公园,旅游景点,公园,121.699827,31.569566,上海市,上海市,崇明区
堡镇市民生态公园,旅游景点,公园,121.621302,31.52943,上海市,上海市,崇明区
崇明岛稻和湾生态公园,休闲娱乐,农家乐,121.648898,31.526702,上海市,上海市,崇明区
东滩生态公园,公司企业,农林牧渔,121.882927,31.454565,上海市,上海市,崇明区
陈家镇自行车生态公园,旅游景点,公园,121.84054,31.482149,上海市,上海市,崇明区
自行车主题生态公园,旅游景点,公园,121.839568,31.482731,上海市,上海市,崇明区
弘福生态公园,公司企业,农林牧渔,121.852305,31.564952,上海市,上海市,崇明区
施门种地户外垂钓生态公园,休闲娱乐,农家乐,121.614144,31.636413,上海市,上海市,崇明区
紫海鹭缘主题生态公园,旅游景点,公园,121.496431,31.672037000000003,上海市,上海市,崇明区
上海蟠龙生态公园,酒店住宿,其他,121.500914,31.655282,上海市,上海市,崇明区
新征生态公园,休闲娱乐,农家乐,121.68612,31.628881,上海市,上海市,崇明区
没顶生态公园,旅游景点,公园,121.77857,31.592322,上海市,上海市,崇明区
龙轩生态公园,休闲娱乐,农家乐,121.776044,31.606226000000003,上海市,上海市,崇明区
合欢主题生态公园,旅游景点,公园,121.420775,31.720762,上海市,上海市,崇明区
新村桂花科普生态公园,旅游景点,公园,121.381679,31.818618,上海市,上海市,崇明区
西沙明珠湖景区-明珠湖生态公园,旅游景点,公园,121.25262,31.736030000000003,上海市,上海市,崇明区
世界十大湿地公园,旅游景点,其他,121.236457,31.722262,上海市,上海市,崇明区
来钿休闲生态公园,餐饮美食,其他,121.244182,31.742311,上海市,上海市,崇明区
市民健康生态公园,旅游景点,公园,121.219366,31.767543,上海市,上海市,崇明区
豫轩熙生态公园,运动健身,其他,121.244727,31.785272,上海市,上海市,崇明区
明珠湖公园,交通设施,公交站,121.255706,31.752548,上海市,上海市,崇明区
村民生态公园,旅游景点,公园,121.30894,31.734531,上海市,上海市,崇明区
大平村村民生态公园,旅游景点,公园,121.311613,31.767361,上海市,上海市,崇明区
ZH农家生态公园,休闲娱乐,农家乐,121.267925,31.767718,上海市,上海市,崇明区
健康主题生态公园,旅游景点,公园,121.294577,31.814933,上海市,上海市,崇明区
新村市民体育生态公园,旅游景点,公园,121.33189,31.828399,上海市,上海市,崇明区
崇明·新村健康主题生态公园,旅游景点,公园,121.331993,31.828745,上海市,上海市,崇明区
雪浪湖生态公园,休闲娱乐,农家乐,121.089739,30.929119,上海市,上海市,松江区
青浦百汇生态公园,运动健身,其他,121.028191,30.947283,上海市,上海市,青浦区
菖蒲生态公园,旅游景点,公园,121.012489,30.850319,上海市,上海市,金山区
法治主题公园,旅游景点,公园,121.312175,30.7545,上海市,上海市,金山区
一谔生态公园,旅游景点,公园,121.31335,30.751997,上海市,上海市,金山区
鲁堰村村民生态公园,旅游景点,公园,121.303795,30.807359,上海市,上海市,金山区
上海锦雄生态公园,休闲娱乐,农家乐,121.238034,30.766289,上海市,上海市,金山区
田阳生态公园,公司企业,农林牧渔,121.183478,30.801215,上海市,上海市,金山区
马棚先锋生态公园,旅游景点,公园,121.340232,30.771087,上海市,上海市,金山区
中兴村善治主题生态公园,旅游景点,公园,121.34104,30.770316,上海市,上海市,金山区
护塘法治生态公园,旅游景点,公园,121.3799,30.796993,上海市,上海市,金山区
侬佳生态公园,运动健身,其他,121.396123,30.869649000000003,上海市,上海市,奉贤区
临海村微生态公园,旅游景点,公园,121.436184,30.827054,上海市,上海市,奉贤区
贝港河生态公园,旅游景点,公园,121.467799,30.861051,上海市,上海市,奉贤区
柘林生态公园,旅游景点,公园,121.467826,30.866398,上海市,上海市,奉贤区
六墩生态公园,旅游景点,公园,121.466273,30.897498,上海市,上海市,奉贤区
庄行生态公园,旅游景点,公园,121.423059,30.906316,上海市,上海市,奉贤区
三桑生态公园,旅游景点,公园,121.469472,30.961964,上海市,上海市,奉贤区
美仁趣味钓虾生态公园,运动健身,其他,121.401817,30.944015,上海市,上海市,奉贤区
吕巷水果生态公园,旅游景点,公园,121.21429,30.83386,上海市,上海市,金山区
白漾村法治生态公园,旅游景点,公园,121.237656,30.853461,上海市,上海市,金山区
同建生态公园,休闲娱乐,其他,121.325566,30.91327,上海市,上海市,松江区
叶榭桂花公园,旅游景点,公园,121.319708,30.931521,上海市,上海市,松江区
广富林郊野生态公园,旅游景点,公园,121.183509,31.060986,上海市,上海市,松江区
辰山户外生态公园,旅游景点,公园,121.179543,31.065274,上海市,上海市,松江区
万魅足球生态公园,运动健身,足球,121.247543,31.074981,上海市,上海市,松江区
江川西路生态公园,休闲娱乐,其他,121.33332,30.986097,上海市,上海市,闵行区
马桥森林体育生态公园,旅游景点,其他,121.347453,31.029546,上海市,上海市,闵行区
小元国农业生态公园,公司企业,农林牧渔,121.476941,31.003389,上海市,上海市,奉贤区
滨江生态公园,旅游景点,公园,121.471789,31.016616,上海市,上海市,闵行区
浦江第一湾公园,旅游景点,公园,121.472697,31.014571,上海市,上海市,闵行区
厚湃尔足球生态公园,旅游景点,景点,121.488161,31.05921,上海市,上海市,闵行区
厚湃尔体育生态公园,旅游景点,公园,121.48907,31.058856,上海市,上海市,闵行区
蓝天白云生态公园,休闲娱乐,其他,121.457709,31.084485,上海市,上海市,闵行区
草莓主题生态公园,休闲娱乐,农家乐,121.184291,31.235168,上海市,上海市,青浦区
天茸生态公园,休闲娱乐,其他,121.176115,31.227564,上海市,上海市,青浦区
天茸菌菇生态公园,休闲娱乐,农家乐,121.183623,31.227746,上海市,上海市,青浦区
小蒸生态公园,旅游景点,公园,121.078819,30.987041,上海市,上海市,青浦区
石湖荡镇控烟主题生态公园,旅游景点,公园,121.118228,30.985889,上海市,上海市,松江区
小昆山健康主题生态公园,旅游景点,公园,121.119679,31.033286,上海市,上海市,松江区
昆秀水产生态公园,休闲娱乐,农家乐,121.112362,31.047455,上海市,上海市,松江区
虹珠生态公园,休闲娱乐,农家乐,121.033152,31.105186,上海市,上海市,青浦区
淀山湖大道生态公园,旅游景点,公园,121.057774,31.130088,上海市,上海市,青浦区
四季百果园悠夫生态公园,休闲娱乐,农家乐,121.057929,31.134366,上海市,上海市,青浦区
万亩春生态公园,运动健身,其他,121.152206,31.225249,上海市,上海市,青浦区
朱新村新凨生态公园,旅游景点,公园,121.698933,30.884585,上海市,上海市,奉贤区
蓝湾生态公园,旅游景点,公园,121.745157,30.876962,上海市,上海市,奉贤区
四团幸福生态公园,旅游景点,公园,121.737803,30.93455,上海市,上海市,奉贤区
魔都生态公园,旅游景点,公园,121.530472,30.876825,上海市,上海市,奉贤区
护民村草地生态公园,旅游景点,公园,121.632786,30.890793,上海市,上海市,奉贤区
卫季村党建微生态公园,旅游景点,水族馆,121.601493,30.902381,上海市,上海市,奉贤区
013体育生态公园,运动健身,综合体育馆,121.832383,30.898087,上海市,上海市,浦东新区
上海滨海森林湿地公园,旅游景点,景点,121.910885,30.963248,上海市,上海市,浦东新区
滨海生态公园,旅游景点,公园,121.911915,30.97062,上海市,上海市,浦东新区
书院社区体育公园,旅游景点,公园,121.859462,30.980055,上海市,上海市,浦东新区
雷锋生态公园,旅游景点,公园,121.811114,31.095233,上海市,上海市,浦东新区
陶家塘生态公园,休闲娱乐,农家乐,121.518433,31.009726,上海市,上海市,闵行区
陶家塘生态公园,餐饮美食,中国菜,121.518422,31.009674,上海市,上海市,闵行区
明星村六岔道生态公园,旅游景点,公园,121.542866,30.976562,上海市,上海市,奉贤区
新城·千禧公园,商务住宅,住宅区,121.508847,31.024414,上海市,上海市,闵行区
浦江森林湿地公园,旅游景点,公园,121.517457,31.047167,上海市,上海市,闵行区
浦江郊野公园-生态湿地公园,旅游景点,其他,121.505701,31.047621000000003,上海市,上海市,闵行区
墩头生态公园,旅游景点,公园,121.635774,30.986068,上海市,上海市,奉贤区
盛妙生态公园,休闲娱乐,农家乐,121.638199,31.06556,上海市,上海市,浦东新区
周浦花海生态公园,旅游景点,公园,121.645584,31.117593000000003,上海市,上海市,浦东新区
桃米乐野餐生态公园,运动健身,其他,121.553276,31.051663,上海市,上海市,浦东新区
绿色生态公园,休闲娱乐,农家乐,121.684368,31.012383,上海市,上海市,浦东新区
金团生态公园,旅游景点,公园,121.753739,30.976747,上海市,上海市,浦东新区
多利农庄生态公园,休闲娱乐,其他,121.773066,30.975577,上海市,上海市,浦东新区
多利农庄生态公园,旅游景点,其他,121.77309,30.975555,上海市,上海市,浦东新区
竹隐江南生态公园,休闲娱乐,其他,121.802164,31.028485,上海市,上海市,浦东新区
微型生态公园,旅游景点,公园,121.802395,31.03634,上海市,上海市,浦东新区
